number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
16,0.6019860377035288,2026-04-23 23:24:20.904019,2026-04-23 23:24:23.292054,0 days 00:00:02.388035,0.9255946589657242,0.27410003225638124,5,5,1619,0.7002276503683187,COMPLETE
17,0.6117907151136567,2026-04-23 23:24:23.293064,2026-04-23 23:24:25.831011,0 days 00:00:02.537947,0.7757604096007102,0.4363835608542593,11,8,1853,0.9980881977544317,COMPLETE
18,0.6135208824881366,2026-04-23 23:24:25.831534,2026-04-23 23:24:27.469810,0 days 00:00:01.638276,0.9055535643782775,0.45855970708086846,8,9,1210,0.7794003299965582,COMPLETE
19,0.6054273493984159,2026-04-23 23:24:27.471842,2026-04-23 23:24:29.494660,0 days 00:00:02.022818,0.9833047421411845,0.39290591185845347,9,7,1691,0.6195004181932756,COMPLETE
20,0.6168382515447612,2026-04-23 23:24:29.496684,2026-04-23 23:24:31.675489,0 days 00:00:02.178805,0.805237481706551,0.24335611391621675,12,5,1541,0.9167417650586243,COMPLETE
21,0.6227719347421006,2026-04-23 23:24:31.675489,2026-04-23 23:24:33.963993,0 days 00:00:02.288504,0.8888698596710329,0.4993269269096972,9,10,1962,0.9525661401173278,COMPLETE
22,0.6047710443282374,2026-04-23 23:24:33.963993,2026-04-23 23:24:36.104399,0 days 00:00:02.140406,0.7140623696970079,0.47436810637307475,9,9,1892,0.8151616460806105,COMPLETE
23,0.614354858813515,2026-04-23 23:24:36.104399,2026-04-23 23:24:38.739191,0 days 00:00:02.634792,0.8989595884740973,0.4587032316876332,7,10,1995,0.9361757243732296,COMPLETE
24,0.6148261387759723,2026-04-23 23:24:38.739191,2026-04-23 23:24:41.240837,0 days 00:00:02.501646,0.9893300929412957,0.4989415760995358,9,9,1911,0.9354020230028612,COMPLETE
25,0.6192812548321853,2026-04-23 23:24:41.241847,2026-04-23 23:24:43.667583,0 days 00:00:02.425736,0.8296475252440491,0.4184917855310046,11,8,1791,0.8376205983278608,COMPLETE
26,0.6021368374744146,2026-04-23 23:24:43.668593,2026-04-23 23:24:45.855356,0 days 00:00:02.186763,0.7179312725276079,0.40417671247864856,11,10,1795,0.857311046644082,COMPLETE
27,0.6013573252743122,2026-04-23 23:24:45.855356,2026-04-23 23:24:48.363995,0 days 00:00:02.508639,0.832838824690187,0.33646772276160414,11,6,1888,0.8235319679172914,COMPLETE
