DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
119,2022,FBAK,First National Bank Alaska,5337.737,60.741,407.55,4224.857,674.697,17.629,2227.047,2815.357,58.235,145.37,24.608,5.697,2022,Optimal,0.13495579,0.0,0.067477895,0.86504421,1.0,0.932522105,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
120,2022,FBIZ,First Business Financial Services Inc,2976.611,57.742,260.64,2168.206,466.983,6.522,2443.066,242.471,40.858,98.422,29.428,3.754,2022,Optimal,0.2125728,0.034012511,0.1232926555,0.7874272,0.9342125735652728,0.8767073445,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
129,2022,FCF,First Commonwealth Financial Corp.,9805.666,126.031,1052.074,8005.469,599.067,55.822,7642.143,1250.237,128.181,312.221,98.708,36.021,2022,Optimal,0.1030462,0.026920002,0.064983101,0.8969538,0.9475713746979876,0.935016899,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
136,2022,FFIC,Flushing Financial Corp,8422.946,84.374,677.157,6485.342,1099.098,14.933,6934.769,854.91,76.945,243.616,10.009,53.363,2022,Optimal,0.15339107,0.0,0.076695535,0.84660893,1.0,0.923304465,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
139,2022,FFWM,First Foundation Inc,13014.179,110.222,1134.378,10362.612,1402.352,14.54,10726.193,1114.06,110.512,318.69,48.234,16.541,2022,Optimal,0.11543026,0.0,0.05771513,0.88456974,1.0,0.94228487,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
143,2022,FHN,First Horizon Corp,78953.0,1101.0,8547.0,63489.0,4474.0,285.0,58102.0,10207.0,900.0,2392.0,815.0,327.0,2022,Optimal,0.10773388,0.0,0.05386694,0.8922661199999999,1.0,0.94613306,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
144,2022,FIBK,First Interstate BancSystem Inc,32287.8,359.6,3073.8,25073.6,3663.8,29.7,18099.2,10596.5,202.2,942.6,163.2,78.3,2022,Optimal,0.14314437,0.0,0.071572185,0.85685563,1.0,0.928427815,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
145,2022,FINW,Finwise Bancorp,400.78,24.489,140.459,242.998,7.334,0.763,236.202,14.741,25.115,50.895,37.411,0.1,2022,Optimal,0.34910322,0.0,0.17455161,0.6508967800000001,1.0,0.82544839,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
150,2022,FLG,Flagstar Financial Inc,90144.0,354.0,8824.0,58721.0,21454.0,41.0,69001.0,10341.0,650.0,1396.0,247.0,153.0,2022,Optimal,0.15367651,0.0,0.076838255,0.8463234900000001,1.0,0.923161745,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
156,2022,FNB,F.N.B. Corp,43725.0,426.237,5653.0,34770.0,2633.3,96.0,30255.0,7630.0,439.109,1119.78,323.553,119.0,2022,Optimal,0.11646188,0.021366443,0.0689141615,0.88353812,0.9581610632570978,0.9310858385,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
157,2022,FNFI,First Niles Financial Inc,133.89,4.913,13.144,83.492,35.092,0.418,91.644,19.486,0.252,3.011,4.082,0.15,2022,Optimal,0.24912115,0.0,0.124560575,0.75087885,1.0,0.8754394249999999,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
166,2022,FRME,First Merchants Corp,17938.306,206.893,2034.77,14382.745,1339.261,43.949,12003.894,4302.313,222.089,520.203,107.941,48.979,2022,Optimal,0.11663727,0.031367177,0.0740022235,0.88336273,0.9391735985020592,0.9259977765,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
167,2022,FRST,Primis Financial Corp,3566.664,49.005,388.968,2722.467,432.524,16.475,2946.637,275.65,14.148,101.7,18.352,38.845,2022,Optimal,0.17144226,0.0,0.08572113,0.8285577399999999,1.0,0.91427887,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
169,2022,FSBW,FS Bancorp Inc,2632.898,47.632,231.697,2127.741,242.463,5.8,2218.852,248.332,29.649,104.28,18.108,9.222,2022,Optimal,0.12672896,0.031849879,0.0792894195,0.87327104,0.9382664481564572,0.9207105805,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
171,2022,FULT,Fulton Financial Corp,26931.702,356.884,2579.757,20649.538,2965.09,153.936,20019.404,4098.209,286.981,781.634,227.13,177.696,2022,Optimal,0.15435418,0.00068879464,0.07752148732,0.84564582,0.9986233589429812,0.92247851268,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
177,2022,GBCI,Glacier Bancorp Inc,26635.375,319.303,2843.305,20606.555,3002.57,67.691,15246.812,9104.374,303.202,788.379,120.732,32.742,2022,Optimal,0.14673029,0.0,0.073365145,0.85326971,1.0,0.926634855,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
181,2022,GSBC,Great Southern Bancorp Inc,5680.702,75.3,533.087,4684.91,374.08,6.011,4570.316,723.901,75.948,199.614,34.14,3.72,2022,Optimal,0.098003226,0.0,0.049001613,0.901996774,1.0,0.950998387,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
188,2022,HBNC,Horizon Bancorp Inc,7872.518,80.283,677.375,5857.774,1258.872,22.58,4157.998,3046.983,93.408,199.518,47.451,23.98,2022,Optimal,0.18292429,0.011927461,0.0974258755,0.81707571,0.9764262529485798,0.9025741245,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
193,2022,HIFS,Hingham Institution for Savings,4193.799,15.831,385.966,2505.289,1276.647,0.427,3682.771,119.302,37.519,106.134,-20.719,1.168,2022,Optimal,0.13913959,0.0,0.069569795,0.86086041,1.0,0.930430205,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
195,2022,HNVR,Hanover Bancorp Inc,1840.058,19.665,172.584,1528.106,126.32,1.028,1623.531,22.979,23.556,61.254,8.872,13.512,2022,Optimal,0.10510325,0.0,0.052551625,0.89489675,1.0,0.947448375,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
196,2022,HOMB,Home Bancshares Inc,22883.588,238.885,3526.362,17938.783,1267.52,51.823,14409.48,5329.295,305.262,758.676,175.111,61.476,2022,Optimal,0.13506563,0.025448742,0.080257186,0.8649343700000001,0.9503656478228923,0.919742814,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
197,2022,HONE,HarborOne Bancorp Inc,5359.545,83.273,616.976,4189.499,463.55,36.186,4549.67,341.169,45.589,148.986,57.309,14.84,2022,Optimal,0.14615105,0.0,0.073075525,0.8538489499999999,1.0,0.926924475,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
211,2022,ISTR,Investar Holding Corp,2753.807,34.974,215.782,2082.365,442.64,32.148,2104.767,440.726,35.709,89.785,18.35,11.382,2022,Optimal,0.18236137,0.0,0.091180685,0.81763863,1.0,0.908819315,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
217,2022,KFFB,Kentucky First Federal Bancorp,328.08,4.853,52.025,239.857,34.066,6.737,276.112,17.314,1.59,9.16,0.515,5.829,2022,Optimal,0.19853647,0.0,0.099268235,0.80146353,1.0,0.900731765,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
219,2022,KRNY,Kearny Financial Corp,7719.883,76.264,894.0,5862.256,920.522,79.945,5417.845,1509.528,67.547,196.603,13.934,92.244,2022,Optimal,0.16525718,0.0,0.08262859,0.83474282,1.0,0.91737141,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
226,2022,LSBK,Lake Shore Bancorp Inc,699.914,9.854,81.184,570.119,38.49,9.8,580.602,75.377,5.708,24.339,2.704,3.0,2022,Optimal,0.13366396,0.0,0.06683198,0.86633604,1.0,0.93316802,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
228,2022,MBIN,Merchants Bancorp,12615.227,89.085,1459.739,10071.345,942.384,0.8,7470.872,1481.545,219.721,318.551,125.936,26.683,2022,Optimal,0.10238767,0.0,0.051193835,0.89761233,1.0,0.948806165,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
230,2022,MBWM,Mercantile Bank Corp,4872.619,65.124,441.408,3712.811,643.704,2.468,3916.619,620.657,61.063,158.244,32.077,7.728,2022,Optimal,0.16898711,0.0,0.084493555,0.83101289,1.0,0.915506445,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
232,2022,MCBK,Madison County Financial Inc,596.27,6.717,90.79,485.249,13.2,0.072,430.733,117.827,7.699,14.001,2.781,0.652,2022,Optimal,0.11955464,0.0,0.05977732,0.88044536,1.0,0.94022268,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
233,2022,MCBS,Metrocity Bankshares Inc,3427.239,30.502,349.421,2666.838,384.277,15.416,3055.689,47.038,62.602,119.611,19.204,24.492,2022,Optimal,0.15042204,0.0,0.07521102,0.84957796,1.0,0.92478898,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
235,2022,MFBP,M&F Bancorp Inc,450.997,7.098,118.058,327.395,1.555,0.824,246.909,92.438,4.512,14.907,5.218,0.885,2022,Optimal,0.22650963,0.0,0.113254815,0.77349037,1.0,0.886745185,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
237,2022,MGYR,Magyar Bancorp Inc,798.543,11.03,98.502,667.733,19.23,8.796,628.276,102.322,7.919,27.019,2.715,3.59,2022,Optimal,0.10805626,0.0,0.05402813,0.89194374,1.0,0.94597187,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
238,2022,MNSB,MainStreet Bancshares Inc,1925.751,23.801,198.282,1512.889,179.587,1.051,1594.064,104.598,26.674,70.009,4.834,0.021,2022,Optimal,0.153899,0.0,0.0769495,0.846101,1.0,0.9230505,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
241,2022,MRBK,Meridian Corp,2062.228,54.378,153.28,1712.479,171.292,22.988,1743.682,181.842,21.829,70.128,41.724,22.939,2022,Optimal,0.10554181,0.0,0.052770905,0.89445819,1.0,0.947229095,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
243,2022,MSBI,Midland States Bancorp Inc,7855.501,90.305,758.574,6364.652,661.003,57.068,6306.467,823.061,99.025,245.735,79.891,57.824,2022,Optimal,0.1113081,0.028300095,0.0698040975,0.8886919,0.944957517484232,0.9301959025,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
247,2022,NASB,NASB Financial Inc,2644.364,49.628,378.878,1496.041,729.588,30.348,1998.969,234.031,32.09,89.168,63.224,26.525,2022,Optimal,0.3911889,0.0,0.19559445,0.6088111,1.0,0.80440555,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
249,2022,NBN,Northeast Bank,1582.759,31.138,248.321,1287.693,19.451,20.397,1304.866,63.319,42.163,83.424,24.445,12.946,2022,Optimal,0.1255582,0.0,0.0627791,0.8744418,1.0,0.9372209,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
250,2022,NBTB,NBT Bancorp Inc,11739.296,187.83,1173.554,9495.933,813.502,32.91,8150.147,2522.239,151.995,362.19,155.578,21.161,2022,Optimal,0.1104146,0.012245956,0.061330278,0.8895854,0.9758043864193024,0.938669722,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
251,2022,NECB,Northeast Community Bancorp Inc,1424.963,15.549,261.989,1121.955,23.896,1.996,1217.693,45.675,24.843,63.875,1.683,1.456,2022,Optimal,0.15381531,0.0,0.076907655,0.84618469,1.0,0.923092345,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
253,2022,NFBK,Northfield Bancorp Inc,5601.293,41.961,701.39,4150.219,684.645,8.106,4243.693,1003.758,61.119,158.306,7.983,10.238,2022,Optimal,0.17968023,0.0012752382,0.0904777341,0.82031977,0.9974527719225484,0.9095222659,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
259,2022,NWBI,Northwest Bancshares Inc,14113.324,188.359,1491.486,11464.548,982.057,159.675,10910.539,2139.5,133.666,420.681,110.849,82.393,2022,Optimal,0.1058355,0.0,0.05291775,0.8941645,1.0,0.94708225,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
264,2022,OCFC,OceanFirst Financial Corp.,13103.896,131.915,1585.464,9675.206,1495.719,19.054,9925.542,1890.101,146.603,377.477,59.094,23.265,2022,Optimal,0.1860746,0.013654565,0.0998645825,0.8139254,0.9730587411698778,0.9001354175,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
267,2022,ONB,Old National Bancorp,46763.372,575.626,5128.595,35000.83,5798.278,127.099,30935.541,10229.534,428.287,1327.936,399.779,264.336,2022,Optimal,0.17367675,0.0,0.086838375,0.82632325,1.0,0.913161625,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
269,2022,ORBN,Oregon Bancorp Inc,401.95,26.946,73.129,318.651,2.456,1.407,260.638,23.943,6.898,15.506,31.418,1.242,2022,Optimal,0.16180912,0.0,0.08090456,0.83819088,1.0,0.91909544,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
273,2022,OTTW,Ottawa Bancorp Inc,357.847,4.905,41.467,289.683,20.85,1.6,312.051,20.898,2.477,11.331,1.739,2.3,2022,Optimal,0.11723043,0.0,0.058615215,0.88276957,1.0,0.941384785,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
