DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
220,2024,KSBI,KS Bancorp Inc,690.849,10.066,45.303,618.156,22.392,0.892,558.779,96.415,6.157,22.202,3.488,0.782,2024,Optimal,0.037303868,0.030684008,0.033993938,0.962696132,0.9404589422910692,0.966006062,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
224,2024,LKFN,Lakeland Financial Corp,6678.374,66.728,683.911,5900.966,6.777,16.096,5117.948,1144.414,93.478,196.679,56.844,56.886,2024,Optimal,0.0059180684,0.0,0.0029590342,0.9940819316,1.0,0.9970409658,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
225,2024,LOB,Live Oak Bancshares Inc,12943.38,183.268,1003.496,11760.494,115.588,141.444,10233.374,1256.003,77.474,375.905,123.781,306.241,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
231,2024,MCB,Metropolitan Bank Holding Corp,7300.749,77.859,729.827,5982.973,529.971,51.897,6034.076,946.387,66.686,253.084,23.829,32.6,2024,Optimal,0.083653806,0.0,0.041826903,0.916346194,1.0,0.958173097,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
234,2024,MCHB,Mechanics Bancorp,16490.112,191.173,2301.868,13941.804,56.094,56.047,9643.497,4522.995,28.999,519.169,-139.12,26.293,2024,Optimal,0.053922254,0.0,0.026961127,0.946077746,1.0,0.973038873,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
238,2024,MNSB,MainStreet Bancshares Inc,2228.098,30.475,207.991,1907.794,79.513,1.004,1830.006,102.448,-9.98,62.574,3.252,21.65,2024,Optimal,0.072418035,0.0,0.0362090175,0.927581965,1.0,0.9637909825,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
240,2024,MPB,Mid Penn Bancorp Inc,5470.936,64.098,655.018,4689.927,79.436,14.509,4443.07,650.813,49.437,156.671,22.493,22.654,2024,Optimal,0.050653079,0.0044258912,0.0275394850999999,0.949346921,0.9911872219966128,0.9724605149,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
242,2024,MSBC,Mission Bancorp/CA,1875.856,21.236,189.486,1649.325,24.675,0.35,1290.802,244.922,30.142,71.132,7.228,1.062,2024,Optimal,0.043140617,0.0,0.0215703085,0.956859383,1.0,0.9784296915,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
243,2024,MSBI,Midland States Bancorp Inc,7506.809,93.639,710.847,6197.243,484.565,67.701,5167.574,1246.089,38.044,236.346,138.741,157.409,2024,Optimal,0.086774433,0.0,0.0433872165,0.913225567,1.0,0.9566127835,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
244,2024,MTB,M&T Bank Corp,208105.0,3162.0,29027.0,161095.0,14342.0,2205.0,132914.0,34051.0,2588.0,6852.0,2427.0,1725.0,2024,Optimal,0.041183741,0.0,0.0205918705,0.958816259,1.0,0.9794081295,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
