DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
90,2021,COLB,Columbia Banking System Inc,30640.936,480.82,2749.27,26594.685,975.125,69.247,22553.18,3965.309,420.3,919.647,356.318,53.069,2021,Optimal,0.029325147,0.0,0.0146625735,0.970674853,1.0,0.9853374265,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
91,2021,CPF,Central Pacific Financial Corp.,7419.089,90.213,558.267,6639.158,146.347,6.192,5101.649,1639.663,79.894,211.047,43.06,5.881,2021,Optimal,0.0090819446,0.0091250714,0.009103508,0.9909180554,0.9819148851641544,0.990896492,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
94,2021,CSHX,Cashmere Valley Bank,2224.302,22.12,239.098,1936.577,34.504,1.143,940.802,1105.625,29.033,52.749,19.9,0.404,2021,Optimal,0.046610664,0.0,0.023305332,0.953389336,1.0,0.976694668,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
96,2021,CUBI,Customers Bancorp Inc,19575.028,108.202,1366.217,16777.924,1194.283,71.175,14552.631,3881.734,314.647,685.074,77.867,49.76,2021,Optimal,0.0,0.01623516,0.00811758,1.0,0.9680484190293122,0.99188242,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
104,2021,DCOM,Dime Community Bancshares Inc,12066.364,108.331,1192.62,10458.974,290.061,12.162,9244.661,1780.752,103.996,357.609,42.068,40.307,2021,Optimal,0.035988591,0.0,0.0179942955,0.964011409,1.0,0.9820057045,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
106,2021,EBC,Eastern Bankshares Inc,23512.128,295.916,3406.352,19628.311,123.574,43.252,12255.068,8522.128,154.665,429.827,193.155,34.983,2021,Optimal,0.067565407,0.0,0.0337827035,0.932434593,1.0,0.9662172965,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
108,2021,ECBK,ECB Bancorp Inc,666.489,9.586,77.273,571.731,9.0,1.671,521.367,71.668,4.042,18.694,1.222,0.982,2021,Optimal,0.063031258,0.0,0.031515629,0.936968742,1.0,0.968484371,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
110,2021,EFSI,Eagle Financial Services Inc,1303.038,21.854,110.28,1177.235,5.289,5.361,985.72,193.37,11.021,40.999,11.32,2.766,2021,Optimal,0.018313694,0.0,0.009156847,0.981686306,1.0,0.990843153,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
114,2021,EQBK,Equity Bancshares Inc,5137.631,54.198,500.631,4420.004,157.819,54.597,3155.627,1344.952,52.48,142.579,32.842,65.998,2021,Optimal,0.050989256,0.0,0.025494628,0.949010744,1.0,0.974505372,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
115,2021,EQFN,Equitable Financial Corp,422.579,8.552,39.741,365.334,11.88,1.49,354.745,24.654,4.26,13.141,7.156,1.284,2021,Optimal,0.046612407,0.0,0.0233062035,0.953387593,1.0,0.9766937965,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
116,2021,ESQ,Esquire Financial Holdings Inc,1178.77,21.741,143.735,1028.409,2.988,2.303,784.517,151.064,17.925,43.703,21.024,0.006,2021,Optimal,0.05383015,0.0,0.026915075,0.94616985,1.0,0.973084925,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
117,2021,EWBC,East West Bancorp Inc,60870.701,433.728,5837.218,53350.532,806.862,234.868,41693.781,10042.787,872.981,1531.571,285.895,103.482,2021,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
