DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
48,2021,BRKL,Brookline Bancorp Inc,8602.622,106.786,995.342,7049.906,377.829,44.963,7154.457,749.847,115.44,282.373,26.989,33.177,2021,Optimal,0.092617413,0.0,0.0463087065,0.907382587,1.0,0.9536912935,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
54,2021,BY,Byline Bancorp Inc,6696.172,101.222,836.382,5155.047,645.775,47.453,4537.128,1491.007,92.785,236.387,74.253,25.242,2021,Optimal,0.14984136,0.0,0.07492068,0.85015864,1.0,0.92507932,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
59,2021,CASH,Pathward Financial Inc,6690.65,151.09,871.884,5514.971,129.384,48.02,3609.563,1962.636,141.708,278.991,270.904,61.833,2021,Optimal,0.089336139,0.0,0.0446680695,0.910663861,1.0,0.9553319305,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
66,2021,CBSH,Commerce Bancshares Inc,36689.088,525.248,3448.324,29813.073,3062.722,26.633,15176.359,14653.276,530.765,835.424,590.452,9.272,2021,Optimal,0.090884591,0.0,0.0454422955,0.909115409,1.0,0.9545577045,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
67,2021,CBU,Community Financial System Inc,15552.657,241.501,2100.807,12911.168,362.718,77.734,7373.639,4979.089,189.694,374.412,246.235,46.191,2021,Optimal,0.075117072,0.0,0.037558536,0.924882928,1.0,0.962441464,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
73,2021,CFBK,CF Bankshares Inc,1495.589,16.948,125.33,1246.352,106.642,0.695,1229.657,28.662,18.453,42.039,11.64,0.997,2021,Optimal,0.091815436,0.023636304,0.05772587,0.908184564,0.953818941536876,0.94227413,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
75,2021,CFFN,Capitol Federal Financial Inc,9631.246,56.002,1242.273,6597.396,1595.672,12.673,7100.965,2088.029,76.082,175.001,28.086,13.606,2021,Optimal,0.21678968,0.0,0.10839484,0.78321032,1.0,0.89160516,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
78,2021,CHBH,Croghan Bancshares Inc,1112.402,16.463,140.056,908.687,57.002,0.708,642.889,364.604,15.232,38.034,8.309,0.499,2021,Optimal,0.11506258,0.0025098198,0.0587861999,0.88493742,0.9949929272503272,0.9412138001,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
82,2021,CIZN,Citizens Holding Co,1361.309,18.46,105.9,1111.892,131.284,13.684,571.847,632.724,7.494,33.494,12.188,6.668,2021,Optimal,0.11318319,0.0,0.056591595,0.88681681,1.0,0.943408405,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
83,2021,CLBK,Columbia Financial Inc,9224.097,99.534,1079.081,7570.216,396.894,8.156,6360.601,2159.432,92.049,233.134,38.831,3.939,2021,Optimal,0.090442036,0.0,0.045221018,0.909557964,1.0,0.954778982,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
84,2021,CLST,Catalyst Bancorp Inc,285.349,4.631,98.346,176.795,9.018,2.087,131.842,103.236,1.927,6.904,2.626,1.231,2021,Optimal,0.29525825,0.0,0.147629125,0.70474175,1.0,0.852370875,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
88,2021,CNOB,ConnectOne Bancorp Inc,8129.48,64.341,1124.212,6332.953,633.561,61.696,6828.622,576.127,130.353,262.878,15.691,61.7,2021,Optimal,0.13865619,0.0,0.069328095,0.8613438099999999,1.0,0.930671905,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
92,2021,CPKF,Chesapeake Financial Shares Inc,1385.816,23.76,126.137,1124.971,125.134,11.911,666.221,606.192,15.01,41.555,19.312,6.737,2021,Optimal,0.1184748,0.0038046593,0.06113972965,0.8815252,0.992419522534089,0.93886027035,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
95,2021,CTBI,Community Trust Bancorp Inc,5418.257,74.114,698.202,4344.292,342.809,34.271,3408.813,1470.708,87.939,163.079,60.463,20.111,2021,Optimal,0.11567528,0.024980083,0.0703276815,0.88432472,0.9512574275065206,0.9296723185,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
97,2021,CVBF,CVB Financial Corp,15883.697,117.871,2081.503,12976.442,715.873,17.739,7841.78,5127.581,212.521,414.55,47.385,6.893,2021,Optimal,0.088018078,0.0,0.044009039,0.911981922,1.0,0.955990961,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
102,2021,CZNC,Citizens & Northern Corp,2327.648,37.603,301.405,1925.06,81.306,24.729,1564.849,517.679,30.554,77.939,25.881,21.902,2021,Optimal,0.096671382,0.0073820145,0.05202669825,0.903328618,0.9853441606188216,0.94797330175,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
105,2021,DIMC,Dimeco Inc,958.22,13.269,100.811,796.916,48.182,18.223,657.267,220.891,11.952,31.942,6.145,13.823,2021,Optimal,0.095597378,0.0,0.047798689,0.904402622,1.0,0.952201311,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
119,2021,FBAK,First National Bank Alaska,5581.34,63.207,554.53,4216.924,784.626,14.094,2127.271,2842.95,58.414,145.601,27.036,17.629,2021,Optimal,0.16688383,0.0,0.083441915,0.83311617,1.0,0.916558085,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
120,2021,FBIZ,First Business Financial Services Inc,2652.905,51.71,232.422,1957.923,418.933,26.651,2239.408,238.784,35.755,84.662,28.1,6.522,2021,Optimal,0.19378274,0.0,0.09689137,0.8062172599999999,1.0,0.90310863,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
