DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
31,2022,BHB,Bar Harbor Bankshares,3909.803,48.657,393.45,3043.431,402.747,10.191,2902.69,574.409,43.557,113.681,35.311,6.549,2022,Optimal,0.15361603,0.067789,0.110702515,0.84638397,0.873029222065408,0.8892974849999999,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
32,2022,BHLB,Berkshire Hills Bancorp Inc,11662.864,152.741,954.062,10327.269,188.551,37.062,8335.309,2026.637,92.533,344.597,68.937,33.323,2022,Optimal,0.025775961,0.068469524,0.0471227425,0.974224039,0.8718362621262749,0.9528772575,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
33,2022,BHRB,Burke & Herbert Financial Services Corp,3562.898,47.138,273.453,2920.4,353.437,26.261,1887.221,1388.2,44.013,103.692,17.087,5.497,2022,Optimal,0.10929321,0.03040546,0.069849335,0.89070679,0.9409835037170706,0.930150665,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
34,2022,BK,Bank of New York Mellon Corp (The),405783.0,6800.0,40741.0,278970.0,44526.0,120.0,65406.0,143300.0,2573.0,3504.0,12873.0,109.0,2022,Optimal,0.13849386,0.0,0.06924693,0.86150614,1.0,0.93075307,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
35,2022,BKOR,Oak Ridge Financial Services Inc,589.281,9.988,52.643,480.985,49.752,3.0,426.295,94.726,6.662,21.654,4.07,0.739,2022,Optimal,0.13553825,0.10528555,0.1204119,0.86446175,0.8094871501758074,0.8795881,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
36,2022,BKSC,Bank of South Carolina Corp,653.346,7.547,38.812,598.67,13.434,0.815,330.982,271.172,6.655,18.897,2.065,0.631,2022,Optimal,0.0184607,0.065564941,0.0420128205,0.9815393,0.8769386294964446,0.9579871795,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
37,2022,BKU,BankUnited Inc,37026.712,265.548,2435.981,27509.334,6411.832,208.184,24885.988,10049.499,284.971,912.96,77.636,106.951,2022,Optimal,0.15459769,0.0,0.077298845,0.84540231,1.0,0.922701155,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
38,2022,BLFY,Blue Foundry Bancorp,2043.338,29.247,393.718,1288.862,337.824,11.983,1545.127,364.022,2.396,51.843,2.664,7.767,2022,Optimal,0.32189796,0.0,0.16094898,0.67810204,1.0,0.83905102,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
39,2022,BMBN,Benchmark Bankshares Inc,1124.672,16.545,85.654,1029.193,3.168,0.61,815.911,161.393,13.24,39.314,8.613,0.54,2022,Optimal,0.018441275,0.00358598,0.0110136275,0.981558725,0.9928536666086148,0.9889863725,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
40,2022,BMRC,Bank of Marin Bancorp,4147.464,41.653,412.092,3573.348,139.078,9.176,2092.546,1774.303,46.586,127.492,10.905,2.887,2022,Optimal,0.058163277,0.011032094,0.0345976855,0.941836723,0.9781765701297312,0.9654023145,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
41,2022,BNCC,BNCCORP Inc,943.321,21.194,100.346,819.584,16.66,1.69,616.645,177.939,6.5,30.958,19.128,1.419,2022,Optimal,0.070820608,0.10963465,0.090227629,0.929179392,0.8023950495778046,0.909772371,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
42,2022,BOH,Bank of Hawaii Corp,23606.877,235.27,1316.995,20615.696,1236.31,18.966,13576.929,8312.027,225.804,540.558,157.541,12.647,2022,Optimal,0.0,0.016951113,0.0084755565,1.0,0.9666628753667532,0.9915244435,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
43,2022,BOKF,BOK Financial Corp,47790.642,670.918,4687.358,34480.705,7350.542,369.266,22557.15,14603.788,520.273,1211.38,643.257,299.636,2022,Optimal,0.20347158,0.0,0.10173579,0.79652842,1.0,0.89826421,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
44,2022,BOTJ,Bank of the James Financial Group Inc,928.571,17.682,50.226,848.138,25.143,1.715,611.625,190.813,8.959,29.703,13.244,1.199,2022,Optimal,0.022435525,0.16258704,0.0925112825,0.977564475,0.7203013032039304,0.9074887175,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
45,2022,BPOP,Popular Inc,67637.917,719.764,4093.425,61227.227,1562.346,632.954,30492.03,26518.683,1102.641,2167.359,897.062,528.567,2022,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
46,2022,BPRN,Princeton Bancorp Inc,1601.779,20.455,219.601,1347.73,26.772,1.414,1370.368,85.345,26.494,68.083,4.862,0.266,2022,Optimal,0.094727656,0.0,0.047363828,0.905272344,1.0,0.952636172,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
47,2022,BRBS,Blue Ridge Bankshares Inc,3130.465,56.006,248.793,2502.507,359.531,16.251,2411.059,424.046,17.333,104.567,48.092,18.779,2022,Optimal,0.13348911,0.082936658,0.108212884,0.86651089,0.8468300848672538,0.891787116,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
